Customer,Income,SpendingScore,Label
C1,43,65,0
C2,72,66,1
C3,33,54,0
C4,29,65,0
C5,49,46,0
C6,53,79,1
C7,39,60,0
C8,27,45,0
C9,40,50,0
C10,62,74,1
C11,31,49,0
C12,41,54,0
C13,46,41,0
C14,28,60,0
C15,67,65,1
C16,52,51,0
C17,73,70,1
C18,79,82,1
C19,63,77,1
C20,45,61,0
C21,58,75,1
C22,48,36,0
C23,57,56,1
C24,63,75,1
C25,76,71,1
C26,76,60,1
C27,53,70,1
C28,68,70,1
C29,51,69,1
C30,56,75,1
C31,43,42,0
C32,36,42,0
C33,65,77,1
C34,58,74,1
C35,61,64,1
C36,39,42,0
C37,61,62,1
C38,56,50,0
C39,34,52,0
C40,39,48,0
C41,45,56,0
C42,36,45,0
C43,63,54,1
C44,54,80,1
C45,77,68,1
C46,69,72,1
C47,87,78,1
C48,39,42,0
C49,54,71,1
C50,60,60,1
C51,35,41,0
C52,77,76,1
C53,40,62,0
C54,66,64,1
C55,52,54,0
C56,58,69,1
C57,59,60,1
C58,47,65,0
C59,29,55,0
C60,35,46,0
C61,35,43,0
C62,40,43,0
C63,42,50,0
C64,38,43,0
C65,35,56,0
C66,69,63,1
C67,66,75,1
C68,27,54,0
C69,60,74,1
C70,60,57,1
C71,54,70,1
C72,67,64,1
C73,45,37,0
C74,65,62,1
C75,35,50,0
C76,59,67,1
C77,72,66,1
C78,71,62,1
C79,44,62,0
C80,48,64,1
C81,45,48,0
C82,68,66,1
C83,41,49,0
C84,73,72,1
C85,43,47,0
C86,36,47,0
C87,68,67,1
C88,42,67,0
C89,71,68,1
C90,73,67,1
C91,51,63,1
C92,52,68,1
C93,65,82,1
C94,67,68,1
C95,71,55,1
C96,67,75,1
C97,55,78,1
C98,67,67,1
C99,69,86,1
C100,41,52,0
C101,36,43,0
C102,71,64,1
C103,66,67,1
C104,68,72,1
C105,72,66,1
C106,63,63,1
C107,62,73,1
C108,70,64,1
C109,71,79,1
C110,43,65,0
C111,60,61,1
C112,26,62,0
C113,70,70,1
C114,67,62,1
C115,60,51,0
C116,66,75,1
C117,44,52,0
C118,59,73,1
C119,78,79,1
C120,53,46,0
C121,58,69,1
C122,40,59,0
C123,53,81,1
C124,39,47,0
C125,32,37,0
C126,71,71,1
C127,56,61,1
C128,37,63,0
C129,63,59,1
C130,63,68,1
C131,46,70,1
C132,38,56,0
C133,55,59,0
C134,38,41,0
C135,61,50,0
C136,40,50,0
C137,42,49,0
C138,35,46,0
C139,40,46,0
C140,34,51,0
C141,63,81,1
C142,20,59,0
C143,74,55,1
C144,63,67,1
C145,55,65,1
C146,31,64,0
C147,47,60,0
C148,46,41,0
C149,36,54,0
C150,56,75,1
C151,38,47,0
C152,46,54,0
C153,37,59,0
C154,31,55,0
C155,45,48,0
C156,67,61,1
C157,47,49,0
C158,61,77,1
C159,34,39,0
C160,54,74,1
C161,30,64,0
C162,23,64,0
C163,66,69,1
C164,61,73,1
C165,65,78,1
C166,41,51,0
C167,62,70,1
C168,42,36,0
C169,29,56,0
C170,66,69,1
C171,65,72,1
C172,36,44,0
C173,42,42,0
C174,68,58,1
C175,72,73,1
C176,67,77,1
C177,53,58,0
C178,25,40,0
C179,35,50,0
C180,44,44,0
C181,41,44,0
C182,35,39,0
C183,59,61,1
C184,32,58,0
C185,32,71,0
C186,44,51,0
C187,59,75,1
C188,35,51,0
C189,60,49,0
C190,73,65,1
C191,40,64,0
C192,35,64,0
C193,46,46,0
C194,45,58,0
C195,45,37,0
C196,60,68,1
C197,64,74,1
C198,66,61,1
C199,43,55,0
C200,44,59,0
C201,47,54,0
C202,65,58,1
C203,43,52,0
C204,42,40,0
C205,57,77,1
C206,40,55,0
C207,65,70,1
C208,72,66,1
C209,66,67,1
C210,37,48,0
C211,42,46,0
C212,50,43,0
C213,39,46,0
C214,52,52,0
C215,48,38,0
C216,42,57,0
C217,66,77,1
C218,36,61,0
C219,81,67,1
C220,36,62,0
C221,53,46,0
C222,37,48,0
C223,56,64,1
C224,58,65,1
C225,65,72,1
C226,76,63,1
C227,48,48,0
C228,65,75,1
C229,31,53,0
C230,41,54,0
C231,67,87,1
C232,61,66,1
C233,61,66,1
C234,61,78,1
C235,75,66,1
C236,59,73,1
C237,61,74,1
C238,66,59,1
C239,52,64,0
C240,61,67,1
C241,67,72,1
C242,45,66,0
C243,64,64,1
C244,29,44,0
C245,40,64,0
C246,61,72,1
C247,40,60,0
C248,60,46,0
