CustomerID,Age,Annual Income,Spending Score
1,56,52,61
2,46,38,64
3,32,83,63
4,25,84,69
5,38,25,22
6,56,30,93
7,36,87,67
8,40,73,76
9,28,84,26
10,28,94,16
11,41,17,51
12,53,34,86
13,57,73,57
14,41,50,29
15,20,33,78
16,39,81,92
17,19,33,69
18,41,34,47
19,47,85,94
20,55,66,62
21,19,47,69
22,38,54,76
23,50,53,16
24,29,96,90
25,39,15,90
26,42,25,48
27,44,71,85
28,59,64,39
29,45,37,33
30,33,45,94
31,32,56,23
32,20,21,10
33,54,30,69
34,24,74,34
35,38,16,52
36,26,15,95
37,56,62,10
38,35,26,19
39,21,83,58
40,42,51,96
41,31,46,1
42,26,23,69
43,43,33,4
44,19,62,16
45,37,94,24
46,45,17,80
47,24,34,2
48,25,38,92
49,52,68,32
50,31,47,91
51,34,38,84
52,53,89,24
53,57,86,12
54,21,50,50
55,19,52,35
56,23,98,33
57,59,39,33
58,21,32,61
59,46,96,51
60,35,80,43
61,43,68,12
62,51,49,67
63,27,94,65
64,53,75,33
65,31,55,40
66,48,47,74
67,32,82,43
68,25,47,44
69,31,28,29
70,40,35,13
71,57,62,12
72,38,34,95
73,33,22,46
74,35,21,2
75,41,81,35
76,43,31,87
77,42,47,81
78,58,62,90
79,46,90,8
80,32,73,93
81,18,36,26
82,42,44,74
83,24,52,90
84,26,65,34
85,41,68,7
86,18,22,68
87,25,41,58
88,41,41,75
89,28,35,29
90,34,44,36
91,25,42,89
92,52,78,21
93,52,83,36
94,50,75,10
95,22,62,73
96,59,33,24
97,56,18,64
98,58,49,99
99,45,78,49
100,24,63,99
101,26,31,36
102,25,58,82
103,29,44,96
104,51,60,24
105,50,20,23
106,40,51,62
107,41,38,96
108,54,60,37
109,52,67,12
110,57,74,55
111,39,77,13
112,44,99,23
113,52,46,89
114,18,47,99
115,52,81,30
116,54,32,17
117,31,39,62
118,20,68,84
119,18,72,89
120,22,81,86
121,43,60,13
122,31,38,59
123,56,46,19
124,44,61,49
125,26,37,12
126,32,80,61
127,32,41,19
128,43,16,76
129,59,31,9
130,30,47,71
131,49,23,28
132,56,57,78
133,49,62,95
134,21,53,52
135,47,56,83
136,54,40,16
137,40,64,69
138,56,39,99
139,32,38,12
140,46,27,25
141,53,74,52
142,30,21,85
143,49,71,53
144,24,50,23
145,39,59,16
146,45,34,57
147,19,79,39
148,59,22,53
149,23,30,42
150,45,28,58
151,45,90,39
152,37,29,14
153,47,80,95
154,28,46,5
155,45,77,35
156,42,65,87
157,56,39,93
158,50,72,75
159,18,77,18
160,44,76,76
161,30,36,9
162,58,72,74
163,20,72,58
164,56,63,17
165,23,66,7
166,25,56,46
167,44,84,13
168,26,29,40
169,54,68,42
170,50,74,9
171,59,22,50
172,41,67,27
173,32,74,66
174,49,19,5
175,49,82,29
176,41,20,37
177,58,61,38
178,29,69,83
179,56,54,8
180,19,66,65
181,20,30,86
182,54,27,17
183,34,44,71
184,19,33,89
185,19,31,45
186,45,77,4
187,40,33,36
188,54,72,70
189,49,69,31
190,50,76,19
191,18,37,61
192,36,23,54
193,19,26,39
194,43,15,91
195,49,72,74
196,23,15,90
197,49,48,19
198,21,62,39
199,28,15,67
200,34,30,45
