Size_sqft,Bedrooms,Age,LocationScore,Price
1360,4,29,5,6939510
1794,4,18,5,8836749
1630,2,16,3,6638740
1595,3,23,9,9869736
2138,1,18,4,8449209
2669,5,27,5,11307591
966,1,25,4,4971221
1738,1,22,5,7588255
830,3,25,7,6083941
1982,1,4,9,10345679
2635,2,25,7,11565168
3419,2,20,5,12859271
630,4,29,7,5470828
2185,5,22,5,9937588
1269,1,8,3,5183302
2891,1,11,7,12030934
2015,3,20,2,7436674
3353,2,0,9,14778976
2933,5,25,1,10073501
1715,4,25,6,9089692
1455,2,0,7,8189188
2824,4,14,8,12920084
1684,3,1,9,10178301
959,3,29,2,4031953
521,1,21,2,2557750
2800,5,15,5,11813127
1247,4,24,5,6793960
3404,2,7,6,13553311
974,3,12,3,4940418
1582,1,20,8,9065422
3058,1,0,1,9823416
2547,4,15,6,11316486
3247,3,28,4,12234369
1475,5,6,1,5959207
2306,3,4,7,10906358
689,4,21,9,7337372
3234,4,28,4,12047750
1062,3,22,4,5520650
2399,4,2,6,10822782
1767,3,11,3,7406234
3379,2,25,6,13524919
2028,3,15,7,10078667
1146,3,18,3,5373053
2568,4,4,7,11788998
3388,4,21,3,12113489
2714,1,24,2,8863347
1797,1,28,4,6875663
2935,2,13,8,12996793
1100,1,27,9,7670378
2863,3,4,7,13083568
2561,4,14,1,9155562
741,1,16,3,3874128
2541,1,29,9,12449895
3324,2,13,1,11020180
3112,2,29,9,13544486
3445,3,19,8,14958491
1863,4,4,1,6991290
2639,2,11,6,11149124
1890,1,15,5,7936959
1978,4,25,6,9603080
3056,4,25,5,11802174
1275,1,15,6,6870705
534,2,20,5,4178581
2753,1,6,5,10647231
2455,4,3,4,10372760
2085,5,0,3,8746738
1521,5,29,3,6807793
3113,3,29,4,11830574
1629,1,4,9,9545241
2000,1,22,2,7070282
1202,3,25,9,8619170
2949,3,9,1,9970351
3277,3,21,1,10778196
2079,4,4,5,9853622
661,1,3,6,5401394
701,4,1,6,5875847
2481,3,19,3,9171061
1495,1,9,7,8222724
2817,4,25,9,13544172
1315,4,18,8,8906799
955,3,25,6,6412498
1775,1,0,8,9677840
1516,3,23,5,7420590
2843,1,4,8,12513860
3267,5,12,4,12641407
837,2,3,8,6976365
1378,2,15,2,5038083
1576,2,23,5,7646342
1291,3,15,9,9236408
2764,5,22,4,10683012
1263,1,1,6,6698956
2735,4,16,1,9390932
879,1,27,9,6950483
992,4,26,1,4068181
1680,1,19,5,7535665
2562,5,23,4,10251236
564,4,11,3,4139681
3068,3,17,6,12726903
1867,1,2,2,6669051
1652,1,27,3,6687005
2527,4,0,5,10779318
3195,3,0,9,14436631
1995,3,28,2,7341702
1662,5,18,8,9876631
2022,3,10,2,7672383
3140,3,4,5,12619270
891,3,11,7,6766224
2198,2,2,8,11069098
918,5,0,1,4139249
2836,1,0,6,11571851
878,4,7,1,4012472
2296,1,9,2,8046691
2778,5,10,1,9898049
2588,4,11,5,10612544
2682,5,28,9,13165842
700,3,12,6,5961403
2363,4,11,1,8389506
1279,3,13,1,4866110
3477,1,1,2,11762584
1002,1,28,9,7867690
2954,4,18,3,11381609
2251,4,17,1,7567095
1304,5,2,5,7149899
2646,5,22,7,11895317
3231,3,16,6,12983578
2395,4,25,1,8245983
3273,1,7,5,12497403
2070,5,28,5,9123904
1460,5,25,6,7756529
3160,1,9,3,10937041
1985,5,25,5,9388234
3190,3,29,7,13598072
1528,4,1,5,8215164
1002,1,18,5,5519533
3314,4,8,5,13327630
897,5,6,3,5332978
1370,5,3,1,5480628
3342,1,25,5,12553568
892,3,20,9,7707741
706,2,17,1,2666168
1538,1,12,3,6522419
2381,2,10,4,9435237
3439,2,28,1,10954407
1984,3,23,1,6632531
1363,2,3,8,8303114
3290,2,24,2,10590697
1063,3,20,8,7600031
1520,2,28,7,8681137
595,2,24,2,2741276
2423,2,3,6,11234239
2257,1,9,6,10163850
3032,1,4,3,10661282
2778,1,8,2,9459452
3296,3,23,1,10730979
2178,5,2,6,10855232
1040,2,16,5,5963403
1559,2,2,9,9793394
3072,3,15,1,10237634
1683,2,3,7,8896605
2222,1,17,5,9261284
2319,5,16,5,10215611
3125,4,6,2,10824559
3229,2,23,3,11519737
3104,1,22,7,12491767
2097,4,29,6,9747233
3193,5,4,2,11451027
1295,4,11,6,7703670
1551,1,16,2,6005940
2143,4,22,2,8249994
1863,3,12,2,7203485
2481,4,22,3,9397025
1854,2,24,2,6685306
2163,2,2,4,8803145
2029,3,8,9,11012943
2538,1,29,6,10443509
1996,2,16,1,6642172
2737,5,16,8,12956314
1908,2,29,7,9524376
1900,2,19,3,7199072
1806,1,15,1,5822105
3180,4,24,5,12283318
3175,2,21,4,11998096
1472,3,12,8,8736699
2268,4,26,1,7976155
1782,5,18,1,6761063
1209,1,16,4,5930767
1979,5,3,8,10864996
1934,4,11,5,8802492
1148,4,28,2,4652850
817,4,8,6,5614072
1757,5,18,5,8623270
1183,4,11,2,5394094
1163,5,8,3,6003337
2498,4,6,9,12428047
2131,3,27,7,10430765
1995,4,13,7,10015356
1636,5,19,6,8536619
2353,2,18,8,11134873
2020,4,25,4,8625681
2989,2,14,8,12930059
