NumLinks,SpamWords,EmailLength,SenderReputation,Spam
0,17,111,1,1
3,4,372,4,0
8,11,78,4,1
0,11,78,9,0
3,18,323,6,1
5,5,188,9,0
5,1,288,6,0
7,11,382,6,0
0,18,64,5,1
6,4,364,5,0
0,11,200,2,0
6,16,189,8,1
2,16,375,8,1
7,9,210,1,1
2,16,174,8,1
0,14,441,5,0
7,11,207,2,1
2,15,26,2,1
1,18,152,6,1
0,7,254,9,0
2,16,64,1,1
1,4,333,6,0
1,15,268,9,1
5,5,50,8,0
0,7,42,6,0
1,17,445,3,1
5,11,413,8,1
2,14,179,9,0
3,8,382,1,0
0,12,456,9,0
7,14,177,6,1
6,9,58,6,0
6,15,434,4,1
2,6,101,1,0
9,16,375,8,1
9,6,277,2,0
2,13,225,1,1
1,14,96,2,1
0,6,496,1,0
6,8,31,1,0
6,18,314,9,1
1,15,469,1,1
6,7,243,4,0
7,17,32,6,1
0,17,65,7,1
8,19,174,2,1
6,6,132,6,0
2,2,252,7,0
7,17,36,2,1
6,9,379,2,0
7,6,242,7,0
5,16,373,1,1
8,13,207,8,1
4,2,467,3,0
2,11,363,6,0
2,12,384,9,0
0,1,182,6,0
7,2,345,9,0
1,4,486,7,0
2,10,433,9,0
7,7,474,2,0
7,11,93,8,0
3,6,252,8,0
3,14,243,2,1
4,16,338,4,1
5,3,431,7,0
4,12,79,4,1
6,17,354,4,1
1,0,241,6,0
6,15,56,6,1
9,12,496,3,1
6,9,297,9,0
0,11,215,2,0
6,1,423,6,0
4,2,371,7,0
2,9,261,9,0
2,1,343,3,0
3,12,238,3,0
1,12,211,7,0
1,17,36,4,1
0,2,31,8,0
4,6,425,7,0
3,13,420,5,1
9,19,413,7,1
1,16,393,3,1
2,11,212,2,0
6,15,41,6,1
6,11,493,2,1
3,14,139,3,1
4,9,229,6,0
4,6,325,5,0
5,19,289,8,1
8,4,211,9,0
1,0,194,3,0
4,16,304,3,1
2,2,223,3,0
3,12,183,6,0
9,13,270,1,1
5,17,246,7,1
7,3,455,1,0
0,17,400,5,1
9,4,479,8,0
7,15,26,4,1
6,0,48,5,0
0,13,414,4,0
1,14,52,4,1
2,8,153,8,0
0,14,386,2,1
8,16,98,1,1
7,3,435,3,0
1,11,454,9,0
8,4,478,4,0
6,4,77,5,0
8,10,490,2,1
5,5,45,4,0
5,6,449,2,0
3,13,245,2,1
9,10,304,4,1
9,12,23,6,1
1,1,484,7,0
6,6,118,3,0
4,19,416,3,1
5,3,58,6,0
1,7,290,3,0
4,19,394,2,1
9,18,304,8,1
3,12,176,5,0
8,13,94,1,1
5,9,391,3,0
1,10,307,8,0
0,1,149,4,0
4,8,194,7,0
8,16,481,2,1
5,2,103,7,0
9,5,41,5,0
6,4,478,5,0
4,4,46,6,0
9,14,214,9,1
5,16,356,6,1
4,8,401,8,0
8,2,255,7,0
5,19,459,9,1
7,16,111,4,1
1,9,496,2,0
8,2,40,7,0
4,17,322,6,1
6,17,483,1,1
9,16,376,9,1
0,2,462,9,0
9,2,103,2,0
4,5,281,3,0
9,12,166,5,1
1,14,460,5,1
5,8,472,1,0
0,3,406,8,0
2,13,276,8,0
4,4,77,4,0
3,1,399,7,0
2,10,441,3,1
9,8,34,6,0
4,2,181,9,0
7,8,464,1,0
3,2,182,5,0
0,1,339,4,0
6,11,300,8,0
7,9,299,1,0
2,8,31,9,0
5,14,293,6,0
1,7,290,4,0
6,4,227,9,0
7,10,46,5,0
5,1,91,5,0
5,14,79,5,1
4,5,449,1,0
7,7,492,1,0
0,4,164,8,0
9,15,112,8,1
3,17,328,6,1
3,5,27,4,0
2,4,98,2,0
2,15,46,2,1
3,12,193,9,0
0,4,69,5,0
1,12,218,4,0
8,16,406,1,1
9,17,368,7,1
1,7,467,3,0
4,12,447,6,0
8,18,200,5,1
8,2,43,5,0
7,7,335,5,0
0,1,397,1,0
0,7,406,1,0
8,12,423,3,1
7,12,65,4,1
9,0,34,5,0
8,5,172,2,0
6,18,241,8,1
2,15,225,2,1
2,7,474,9,0
